Steam ID,Avg Assists,Avg Kills,Avg Deaths,Last Hits,Denies,Games Dire,Games Radiant,Total Games,GPM,XPM,Hero Damage,Hero Healing,Level,Wins,Losses,Gold Spent,Tower Damage,KAL,KDA,Winrate
89407113,9.85754717,3.108490566,4.233018868,50.56886792,2.725471698,476,584,1060,261.8,277.6113208,4851.873737,1341.84596,13.39528302,658,402,8558.232323,319.6111111,3.476931974,3.063071094,0.620754717
92423451,10.61800948,5.36492891,4.199052133,182.7563981,7.648341232,570,485,1055,452.5052133,485.2890995,11467.27715,711.7669683,18.32796209,675,380,15297.50566,1550.656109,4.396507944,3.806320542,0.639810427
87196890,10.20857143,3.152380952,5.240952381,73.82285714,2.371428571,528,522,1050,295.2961905,330.3114286,7639.786325,1208.244444,14.79619048,587,463,9668.692308,680.0307692,3.023028105,2.549336725,0.559047619
130416036,9.969289827,7.110364683,3.787907869,255.9577735,15.25431862,439,603,1042,527.549904,535.2840691,16581.18378,359.8060837,19.64779271,586,456,18861.56527,3124.949303,5.276825426,4.508994173,0.562380038
103039499,10.4803074,3.080691643,4.904899135,52.81075889,2.1623439,562,479,1041,268.2603266,291.8049952,6709.47851,2154.077364,13.94716619,541,500,8586.325215,541.2464183,3.204974856,2.764786526,0.519692603
26771994,12.32432432,3.353281853,5.465250965,61.27606178,2.538610039,499,537,1036,289.8378378,338.7972973,8576.510083,994.7319098,15.45559846,619,417,9509.632266,303.088968,3.250728818,2.868597669,0.597490348
19757254,9.335914811,5.805421104,3.996127783,186.9622459,11.5624395,481,552,1033,444.3252662,472.5759923,13266.75556,212.7492063,17.59922556,554,479,16301.53968,2212.434921,4.592073069,3.789001938,0.536302033
76482434,9.685131195,4.551020408,3.835762877,162.6666667,7.514091351,513,516,1029,431.7453839,439.9397473,8761.286174,280.1768489,16.69193392,638,391,14994.53376,1666.623794,4.16180083,3.7114264,0.620019436
137193239,9.681640625,8.020507813,4.107421875,273.4228516,13.81542969,457,567,1024,578.0898438,566.890625,19235.02725,254.3723512,20.40917969,575,449,19528.04743,3210.989909,5.121939466,4.30979553,0.561523438
72312627,9.608094768,7.326752221,4.11846002,242.0335637,10.22803554,510,503,1013,525.035538,531.6722606,16899.55699,772.2749706,19.54491609,620,393,17726.27497,3602.3302,4.939910521,4.111936721,0.612043435
